Accession	Gene_name	Protein_name
A0AV88	ADAM10	ADAM10 protein
A0AVK6	E2F8	Transcription factor E2F8
A0FGR8	ESYT2;FAM62B;KIAA1228	Extended synaptotagmin-2
A1KZ92	PXDNL;VPO2	Peroxidasin-like protein
A1L0S7	TNS1	TNS1 protein
A1L0T0	ILVBL;AHAS	Acetolactate synthase-like protein
A1L0T0-1	ILVBL 	Acetolactate synthase-like protein
A1L3U3	NA	ATP-binding cassette sub-family A member 8
A2A3N6	PIPSL;PSMD4P2	Putative PIP5K1A and PSMD4-like protein
A2CJ06	DYTN	Dystrotelin
A3KMH1	VWA8;KIAA0564	von Willebrand factor A domain-containing protein 8
A3KN83	SBNO1;MOP3	Protein strawberry notch homolog 1
A4D1N4	CHCHD3;hCG_2014841	Coiled-coil-helix-coiled-coil-helix domain containing 3
A5A3E0	POTEF;A26C1B	POTE ankyrin domain family member F
A5YKK6	CNOT1;CDC39;KIAA1007;NOT1;AD-005	CCR4-NOT transcription complex subunit 1
A5YM53	ITGAV	ITGAV protein
A6NCN2	KRT87P;KRT121P;KRTHBP4	Putative keratin-87 protein
A6NE01	FAM186A	Protein FAM186A
A6NFF2	NAP1L6	Putative nucleosome assembly protein 1-like 6
A6NFQ2	FAM115C;FAM139A	Protein FAM115C
A6NGN7	NA	Ribosomal protein L1
A6NHL2	TUBAL3	Tubulin alpha chain-like 3
A6NHM9	MOXD2P;MOXD2	Putative DBH-like monooxygenase protein 2
A6NHR9	SMCHD1;KIAA0650	Structural maintenance of chromosomes flexible hinge domain-containing protein 1
A6NI79	CCDC69	Coiled-coil domain-containing protein 69
A6NIJ5	FAM90A20P;FAM90A20	Putative protein FAM90A20P
A6NIZ1	NA	Ras-related protein Rap-1b-like protein
A6NK53	ZNF233	Zinc finger protein 233
A6NL05	FAM74A7	Protein FAM74A7
A6NL28	NA	Putative tropomyosin alpha-3 chain-like protein
A6NMS7	LRRC37A;LRRC37A1	Leucine-rich repeat-containing protein 37A
A6NMY6	ANXA2P2;ANX2L2;ANX2P2;LPC2B	Putative annexin A2-like protein
A6NP81	NA	Golgin subfamily A member 8-like protein 2
A6PVS8	LRRIQ3;LRRC44	Leucine-rich repeat and IQ domain-containing protein 3
A7E2Y1	MYH7B;KIAA1512	Myosin-7B
A7XZE4	TPM2b	Beta tropomyosin isoform
A8ILL3	HLA-A	MHC class I antigen
A8K5C2	NA	cDNA FLJ75055
A8K968	NA	cDNA FLJ77757
A8MRT5	NPIPB5	Nuclear pore complex-interacting protein family member B5
A8MTJ3	GNAT3	Guanine nucleotide-binding protein G
A8MXV4	NUDT19	Nucleoside diphosphate-linked moiety X motif 19, mitochondrial
A8MY62	LACTBL1	Putative beta-lactamase-like 1
